10/19/2021,108.0,108.0,108.0,4.0
10/20/2021,107.3,109.0,104.2,20.0
10/21/2021,108.2,102.8,104.5,6.0
10/22/2021,106.9,109.7,103.1,18.0
10/23/2021,107.0,105.6,101.5,16.0
10/24/2021,108.4,110.7,102.7,12.0
10/25/2021,105.5,104.7,102.2,17.0
10/26/2021,106.8,107.6,101.8,9.0
10/27/2021,107.1,108.1,101.8,19.0
10/28/2021,107.2,106.0,100.7,10.0
10/29/2021,105.8,106.3,101.0,14.0
10/30/2021,106.1,106.0,100.7,20.0
10/31/2021,105.2,107.7,101.6,9.0
11/01/2021,107.5,107.5,100.4,17.0
11/02/2021,105.1,107.5,101.1,9.0
11/03/2021,107.5,107.2,100.3,21.0
11/04/2021,106.0,107.5,100.4,9.0
11/05/2021,106.5,107.6,100.3,17.0
11/06/2021,107.9,106.5,99.8,11.0
11/07/2021,106.6,106.7,100.5,14.0
11/08/2021,108.4,107.4,100.0,16.0
11/09/2021,109.6,108.2,99.1,5.0
11/10/2021,106.7,107.6,100.1,25.0
11/11/2021,110.1,106.4,98.4,5.0
11/12/2021,106.6,107.6,100.3,22.0
11/13/2021,106.9,108.4,98.8,12.0
11/14/2021,107.4,106.5,100.6,14.0
11/15/2021,106.8,108.4,99.2,21.0
11/16/2021,109.3,104.7,100.4,5.0
11/17/2021,106.8,108.3,99.4,21.0
11/18/2021,108.7,106.2,98.7,10.0
11/19/2021,107.0,107.3,99.3,18.0
11/20/2021,107.6,109.4,99.1,16.0
11/21/2021,108.0,106.5,98.9,10.0
11/22/2021,107.1,108.5,99.2,18.0
11/23/2021,107.5,107.7,98.6,8.0
11/24/2021,108.1,108.4,99.3,24.0
11/26/2021,108.0,108.5,99.3,22.0
11/27/2021,108.3,108.4,98.9,14.0
11/28/2021,108.1,108.0,100.0,10.0
11/29/2021,107.0,108.6,98.8,16.0
11/30/2021,109.0,108.6,99.7,10.0
12/01/2021,107.4,108.7,98.8,17.0
12/02/2021,108.1,109.0,98.8,10.0
12/03/2021,108.3,107.7,99.0,16.0
12/04/2021,109.8,108.1,98.8,14.0
12/05/2021,108.9,110.5,98.5,6.0
12/06/2021,108.6,108.4,98.8,19.0
12/07/2021,108.7,108.4,99.5,6.0
12/08/2021,108.5,109.0,98.8,24.0
12/09/2021,109.0,109.3,99.4,5.0
12/10/2021,108.5,109.4,99.1,18.0
12/11/2021,108.8,108.4,98.9,12.0
12/12/2021,106.8,109.7,99.0,12.0
12/13/2021,110.2,108.4,98.6,17.0
12/14/2021,110.5,107.6,98.4,6.0
12/15/2021,108.8,109.9,98.9,20.0
12/16/2021,108.1,109.3,98.7,7.0
12/17/2021,109.8,109.8,99.4,15.0
12/18/2021,107.5,108.4,98.6,12.0
12/19/2021,109.4,109.6,99.5,12.0
12/20/2021,109.1,109.4,99.5,11.0
12/21/2021,108.4,109.2,98.6,10.0
12/22/2021,108.0,109.6,98.8,10.0
12/23/2021,108.7,109.6,98.8,20.0
12/25/2021,110.3,107.7,99.0,9.0
12/26/2021,108.2,109.4,98.3,15.0
12/27/2021,110.2,109.7,99.3,13.0
12/28/2021,108.4,109.4,98.6,15.0
12/29/2021,109.0,109.9,99.0,15.0
12/30/2021,109.3,108.5,98.3,5.0
12/31/2021,109.6,109.6,98.7,19.0
01/01/2022,109.1,108.9,99.2,10.0
01/02/2022,109.0,109.5,98.7,14.0
01/03/2022,109.7,110.2,98.6,18.0
01/04/2022,110.0,109.5,98.9,10.0
01/05/2022,109.3,110.4,98.8,20.0
01/06/2022,108.6,108.1,98.7,8.0
01/07/2022,109.8,110.2,98.7,16.0
01/08/2022,109.4,109.3,98.7,11.0
01/09/2022,109.1,109.9,98.9,19.0
01/10/2022,109.5,110.6,99.0,13.0
01/11/2022,108.8,108.5,98.6,11.0
01/12/2022,110.0,110.2,98.7,16.0
01/13/2022,109.5,109.1,98.8,10.0
01/14/2022,110.1,109.6,98.8,18.0
01/15/2022,109.9,109.8,98.0,19.0
01/16/2022,108.7,109.4,99.7,7.0
01/17/2022,110.1,109.6,98.4,22.0
01/18/2022,107.8,108.0,98.7,4.0
01/19/2022,109.7,110.5,98.9,24.0
01/20/2022,110.0,108.0,97.7,6.0
01/21/2022,109.7,110.2,98.8,20.0
01/22/2022,109.8,109.1,98.7,6.0
01/23/2022,110.0,109.8,98.5,20.0
01/24/2022,109.4,109.2,97.7,7.0
01/25/2022,109.6,110.4,98.9,17.0
01/26/2022,110.7,110.2,98.4,19.0
01/27/2022,110.3,107.8,99.7,4.0
01/28/2022,109.8,110.7,99.0,21.0
01/29/2022,110.8,109.4,98.0,11.0
01/30/2022,110.3,110.2,99.0,15.0
01/31/2022,109.9,110.3,98.0,16.0
02/01/2022,110.6,109.8,98.6,13.0
02/02/2022,109.6,110.7,98.7,16.0
02/03/2022,110.8,110.1,99.0,12.0
02/04/2022,110.1,111.2,98.4,17.0
02/05/2022,109.8,110.4,99.1,11.0
02/06/2022,110.1,110.6,98.4,16.0
02/07/2022,110.9,108.9,98.2,8.0
02/08/2022,110.1,110.9,98.8,20.0
02/09/2022,110.4,110.6,99.1,11.0
02/10/2022,110.4,109.7,98.5,13.0
02/11/2022,109.9,110.7,98.6,13.0
02/12/2022,110.6,110.2,98.6,21.0
02/13/2022,112.1,111.1,98.7,4.0
02/14/2022,109.4,111.4,98.8,16.0
02/15/2022,111.8,109.5,98.4,14.0
02/16/2022,110.4,111.2,99.0,20.0
02/17/2022,110.8,110.9,98.6,9.0
02/24/2022,111.0,110.4,98.9,14.0
02/25/2022,109.8,110.8,98.9,16.0
02/26/2022,111.8,110.6,98.7,13.0
02/27/2022,110.3,110.4,98.8,15.0
02/28/2022,111.0,111.1,99.2,14.0
03/01/2022,110.3,110.6,98.9,11.0
03/02/2022,110.2,111.3,98.7,15.0
03/03/2022,111.3,110.4,98.9,14.0
03/04/2022,110.5,111.3,98.6,16.0
03/05/2022,111.0,110.7,99.3,12.0
03/06/2022,110.7,110.4,98.6,14.0
03/07/2022,111.1,111.6,98.8,15.0
03/08/2022,110.7,110.2,99.2,12.0
03/09/2022,110.7,111.3,99.0,22.0
03/10/2022,112.5,109.7,98.3,4.0
